INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Healing Arts Center,St. Louis,MO,38.603239,-90.387718,NULL,NULL,NULL,NULL
Paul Mitchell the School-Springfield,Springfield,MO,37.159135,-93.31815,NULL,NULL,NULL,NULL
Urshan Graduate School of Theology,Wentzville,MO,38.808034,-90.830252,NULL,NULL,NULL,NULL
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,32.330039,-90.327649,NULL,NULL,NULL,NULL
College of Western Idaho,Nampa,ID,43.614106,-116.507314,NULL,NULL,3336,7344
Aveda Institute-Chapel Hill,Chapel Hill,NC,35.927944,-79.026769,NULL,NULL,NULL,NULL
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,35.606831,-82.568537,NULL,NULL,NULL,NULL
Total Image Beauty Academy,Union City,NJ,40.77578,-74.026091,NULL,NULL,NULL,NULL
Jersey College,Teterboro,NJ,40.862137,-74.057936,0.5667,NULL,NULL,NULL
American Institute of Medical Sciences & Education,Piscataway,NJ,40.56114,-74.437251,NULL,NULL,NULL,NULL
Casal Institute of Nevada,Las Vegas,NV,36.101143,-115.117387,1,NULL,NULL,NULL
Career School of NY,Staten Island,NY,40.641352,-74.078168,NULL,NULL,NULL,NULL
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY,43.047475,-73.846603,NULL,NULL,NULL,NULL
Yeshiva of Machzikai Hadas,Brooklyn,NY,40.638194,-73.987855,0.9529,NULL,9200,9200
Aveda Institute-Columbus,Columbus,OH,40.062719,-83.043021,NULL,NULL,NULL,NULL
Paul Mitchell the School-Cincinnati,Cincinnati,OH,39.291618,-84.392501,NULL,NULL,NULL,NULL
Hands on Therapy,Mesquite,TX,32.787719,-96.60627,NULL,NULL,NULL,NULL
MediaTech Institute-Dallas,Dallas,TX,32.92427,-96.902721,NULL,NULL,NULL,NULL
PCCenter,Farmers Branch,TX,32.934898,-96.824125,NULL,NULL,NULL,NULL
Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,29.637354,-98.452126,NULL,NULL,NULL,NULL
Skin Science Institute,Sandy,UT,40.564549,-111.851628,NULL,NULL,NULL,NULL
Pacific Northwest University of Health Sciences,Yakima,WA,46.602872,-120.45598,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Irvine,Irvine,CA,33.650763,-117.838089,NULL,NULL,NULL,NULL
Fortis College-Dothan,Dothan,AL,31.243014,-85.37446,NULL,NULL,NULL,NULL
Fortis Institute-Pensacola,Pensacola,FL,30.510415,-87.183112,NULL,NULL,14169,14169
Fortis College-Montgomery,Montgomery,AL,32.384006,-86.252163,NULL,NULL,NULL,NULL
Woodland Community College,Woodland,CA,38.660392,-121.73533,NULL,NULL,1124,6740
Dorsey School of Business-Roseville Culinary Academy,Roseville,MI,42.527764,-82.915541,NULL,NULL,21913,21913
Fortis Institute-Birmingham,Birmingham,AL,33.442921,-86.862659,NULL,NULL,13317,13317
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,34.047958,-118.257251,0.3419,NULL,14738,14738
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,30.650045,-88.112324,NULL,NULL,NULL,NULL
Studio Academy of Beauty,Chandler,AZ,33.314894,-111.860316,NULL,NULL,NULL,NULL
California Nurses Educational Institute,Palm Springs,CA,33.816672,-116.490142,NULL,NULL,NULL,NULL
Paul Mitchell the School-Sacramento,Sacramento,CA,38.594752,-121.41594,NULL,NULL,NULL,NULL
Providence Christian College,Pasadena,CA,34.149327,-118.141062,0.8792,1120,30370,30370
Oxford Academy of Hair Design Inc,Seymour,CT,41.397798,-73.061063,NULL,NULL,NULL,NULL
Institute of World Politics,Washington,DC,38.910537,-77.036112,NULL,NULL,NULL,NULL
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,38.933246,-76.998606,NULL,NULL,NULL,NULL
Medical Institute of Palm Beach,Greenacres,FL,26.620478,-80.134959,NULL,NULL,NULL,NULL
Woodruff Medical Training and Testing,Gainesville,GA,34.296435,-83.818396,NULL,NULL,NULL,NULL
Oliver Finley Academy of Cosmetology,Boise,ID,43.667102,-116.281478,NULL,NULL,NULL,NULL
National Career College,Panorama City,CA,34.22245,-118.446211,NULL,NULL,NULL,NULL
Aveda Institute-Chicago,Chicago,IL,41.933493,-87.645838,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,42.28167,-87.942702,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,41.734829,-87.80309,NULL,NULL,NULL,NULL
The Temple-A Paul Mitchell Partner School,Frederick,MD,39.415249,-77.411651,NULL,NULL,NULL,NULL
Center for Massage,Asheville,NC,35.594,-82.550571,NULL,NULL,NULL,NULL
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,35.591351,-97.566146,NULL,NULL,NULL,NULL
Liberty Junior College,Cayey,PR,18.134531,-66.129813,NULL,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI,41.731937,-71.479109,NULL,NULL,NULL,NULL
South Texas Training Center,San Benito,TX,26.156604,-97.652989,NULL,NULL,10695,10695
Columbia College,Vienna,VA,38.928425,-77.249152,NULL,NULL,NULL,NULL
Vermont College of Fine Arts,Montpelier,VT,44.25521,-72.567616,NULL,NULL,NULL,NULL
Advanced Welding Institute,South Burlington,VT,44.45588,-73.139437,NULL,NULL,NULL,NULL
Paul Mitchell the School-Memphis,Memphis,TN,35.129595,-89.947956,NULL,NULL,NULL,NULL
Pima Medical Institute-East Valley,Mesa,AZ,33.376378,-111.689497,NULL,NULL,NULL,NULL
Paul Mitchell the School-Cleveland,Twinsburg,OH,41.330927,-81.463033,NULL,NULL,NULL,NULL
Paul Mitchell the School-Columbus,Columbus,OH,40.059575,-82.938765,NULL,NULL,NULL,NULL
Empire Beauty School-Lauderhill,Lauderhill,FL,26.18471,-80.251119,NULL,NULL,NULL,NULL
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,45.117185,-93.26237,NULL,NULL,NULL,NULL
MediaTech Institute-Houston,Houston,TX,29.724809,-95.568341,NULL,NULL,NULL,NULL
Fortis College-Phoenix,Phoenix,AZ,33.455111,-112.043322,NULL,NULL,NULL,NULL
Platt College-Miller-Motte-Raleigh,Raleigh,NC,35.834569,-78.585676,NULL,NULL,NULL,NULL
Lamson Institute,San Antonio,TX,29.481426,-98.607504,NULL,NULL,NULL,NULL
College of Hair Design-East Campus,Lincoln,NE,40.732974,-96.596462,NULL,NULL,NULL,NULL
Fortis College-Salt Lake City,Salt Lake City,UT,40.685819,-111.870502,NULL,NULL,17752,17752
Polytechnic University of Puerto Rico-Miami,Miami,FL,25.80915,-80.328482,NULL,NULL,12525,12525
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,28.55158,-81.253943,NULL,NULL,12030,12030
Ross Medical Education Center-Fort Wayne,Fort Wayne,IN,41.115114,-85.14454,NULL,NULL,NULL,NULL
Ross Medical Education Center-Battle Creek,Battle Creek,MI,42.247801,-85.20031,NULL,NULL,NULL,NULL
Geisinger Commonwealth School of Medicine,Scranton,PA,41.413415,-75.655478,NULL,NULL,NULL,NULL
Josef's School of Hair Skin & Body-Fargo,Fargo,ND,46.86216,-96.83183,NULL,NULL,NULL,NULL
Northeast Technology Center-Claremore,Claremore,OK,36.326822,-95.634154,NULL,NULL,NULL,NULL
Platt College-McCann-Allentown,Allentown,PA,40.64006,-75.448981,NULL,NULL,NULL,NULL
Salon Success Academy-Fontana,Fontana,CA,34.099087,-117.437904,NULL,NULL,NULL,NULL
Salon Success Academy-Redlands,Redlands,CA,34.062342,-117.218933,NULL,NULL,NULL,NULL
Strayer University-West Virginia,Scott Depot,WV,38.454703,-81.928375,NULL,NULL,13380,13380
Vanguard College of Cosmetology-Baton Rouge,Baton Rouge,LA,30.41107,-91.044491,NULL,NULL,NULL,NULL
Beauty Schools of America-Homestead,Homestead,FL,25.475883,-80.446293,NULL,NULL,NULL,NULL
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,25.9358,-97.509158,NULL,NULL,NULL,NULL
Platt College-STVT-Corpus Christi,Corpus Christi,TX,27.739649,-97.433269,NULL,NULL,NULL,NULL
University of Minnesota-Rochester,Rochester,MN,44.022339,-92.463471,0.4954,1180,13352,13352
Health And Style Institute,Greensboro,NC,36.037762,-79.840799,NULL,NULL,NULL,NULL
College of Business and Technology-Cutler Bay,Cutler Bay,FL,25.590468,-80.356565,NULL,NULL,13052,13052
